ticket_id,request_date,week_start,channel,department,request_type,customer_type,priority,status,response_hours,resolution_hours,response_sla_hours,resolution_sla_hours,first_response_met,resolution_sla_met,rework_required,revenue_value,cost_estimate,estimated_margin,satisfaction_score
REQ-10570,2026-02-03,2026-02-02,Phone,Admin Operations,Vendor Record Update,Internal Staff,Normal,Closed,1.64,15.6,8,72,1,1,0,208.5,46.43,162.07,4.52
REQ-10085,2026-02-04,2026-02-02,Email,Scheduling,Appointment Change,Parent,Normal,Closed,3.05,6.8,8,72,1,1,0,212.63,58.5,154.13,4.6
REQ-10207,2026-02-04,2026-02-02,Phone,Client Success,Service Follow-Up,Vendor,Normal,Closed,2.6,15.62,8,72,1,1,0,315.59,79.0,236.59,4.53
REQ-10220,2026-02-04,2026-02-02,Referral,Admin Operations,General Request,Parent,High,Open,1.51,0.0,4,36,1,1,0,250,83.85,166.15,4.23
REQ-10265,2026-02-04,2026-02-02,Email,Client Success,General Request,Vendor,Normal,Closed,2.48,7.6,8,72,1,1,0,364.13,90.34,273.79,4.65
REQ-10082,2026-02-05,2026-02-02,Email,Billing,Billing Question,Vendor,Normal,Closed,14.13,15.1,8,72,0,1,1,248.32,86.91,161.41,3.7
REQ-10161,2026-02-05,2026-02-02,Email,Billing,Invoice Correction,Parent,Normal,Closed,1.91,24.09,8,72,1,1,0,289.54,133.09,156.45,4.2
REQ-10169,2026-02-05,2026-02-02,Web Form,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,2.62,15.09,8,72,1,1,0,141.91,63.76,78.15,4.46
REQ-10256,2026-02-05,2026-02-02,Email,Scheduling,Appointment Change,Student,Low,Closed,5.51,11.93,16,120,1,1,0,144.99,49.82,95.17,4.31
REQ-10450,2026-02-05,2026-02-02,Web Form,Client Success,Service Follow-Up,Student,Urgent,Closed,1.1,5.04,2,24,1,1,0,365.24,177.2,188.04,4.53
REQ-10555,2026-02-05,2026-02-02,Email,Data & Reporting,Data Export,Vendor,Normal,Closed,3.27,9.53,8,72,1,1,0,480,124.8,355.2,3.8
REQ-10584,2026-02-05,2026-02-02,Email,Billing,Billing Question,Internal Staff,Low,In Progress,3.05,0.0,16,120,1,1,0,220.22,117.69,102.53,4.05
REQ-10594,2026-02-05,2026-02-02,Web Form,Systems Operations,Automation Request,Parent,Normal,Closed,1.14,5.2,8,72,1,1,0,1642.19,405.08,1237.11,4.48
REQ-10286,2026-02-06,2026-02-02,Email,Systems Operations,Automation Request,Vendor,High,Open,3.1,0.0,4,36,1,1,0,1200,505.9,694.1,4.37
REQ-10288,2026-02-06,2026-02-02,Email,Scheduling,Appointment Change,Vendor,Normal,In Progress,3.05,0.0,8,72,1,1,0,150.86,44.16,106.7,4.0
REQ-10529,2026-02-06,2026-02-02,Referral,Billing,Billing Question,Internal Staff,Low,Closed,9.76,30.5,16,120,1,1,0,190.79,67.22,123.57,3.84
REQ-10114,2026-02-07,2026-02-02,Walk-In,Billing,Invoice Correction,Student,High,Closed,1.68,5.03,4,36,1,1,1,305.3,124.15,181.15,4.37
REQ-10416,2026-02-07,2026-02-02,Web Form,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,1.5,10.68,8,72,1,1,0,206.94,103.19,103.75,4.49
REQ-10503,2026-02-07,2026-02-02,Email,Systems Operations,Automation Request,Student,Normal,Closed,3.0,58.2,8,72,1,1,0,1058.83,536.01,522.82,3.91
REQ-10576,2026-02-07,2026-02-02,Email,Billing,Invoice Correction,Internal Staff,Normal,In Progress,6.11,0.0,8,72,1,1,1,377.9,164.07,213.83,3.68
REQ-10005,2026-02-08,2026-02-02,Referral,Systems Operations,Intake Form Issue,Parent,High,Closed,4.72,19.59,4,36,0,1,0,381.16,133.41,247.75,4.45
REQ-10065,2026-02-08,2026-02-02,Phone,Systems Operations,Intake Form Issue,Vendor,High,Closed,0.45,11.69,4,36,1,1,0,503.13,250.74,252.39,4.49
REQ-10163,2026-02-08,2026-02-02,Email,Data & Reporting,Dashboard Request,Internal Staff,Normal,Closed,5.17,28.68,8,72,1,1,1,1022.0,352.0,670.0,3.83
REQ-10202,2026-02-08,2026-02-02,Web Form,IT Support,Account Setup,Internal Staff,Normal,In Progress,1.96,0.0,8,72,1,1,0,420.38,161.63,258.75,4.37
REQ-10244,2026-02-08,2026-02-02,Email,Data & Reporting,Data Export,Small Business,Normal,Closed,14.55,8.75,8,72,0,1,0,546.19,242.62,303.57,3.8
REQ-10062,2026-02-09,2026-02-09,Referral,Data & Reporting,Data Export,Parent,Normal,In Progress,7.62,0.0,8,72,1,1,0,671.83,323.98,347.85,4.1
REQ-10072,2026-02-09,2026-02-09,Web Form,Scheduling,Appointment Change,Unknown,Normal,Open,3.05,0.0,8,72,1,1,0,118.5,28.52,89.98,4.13
REQ-10089,2026-02-09,2026-02-09,Phone,Client Success,Service Follow-Up,Vendor,Low,Closed,3.59,15.65,16,120,1,1,0,265.6,138.88,126.72,3.8
REQ-10115,2026-02-09,2026-02-09,Referral,Admin Operations,Vendor Record Update,Student,Low,Closed,3.7,12.26,16,120,1,1,0,198.05,59.01,139.04,4.31
REQ-10140,2026-02-09,2026-02-09,Email,Data & Reporting,Data Export,Student,Normal,Closed,3.05,11.54,8,72,1,1,0,480,211.12,268.88,4.17
REQ-10318,2026-02-09,2026-02-09,Unknown,Scheduling,Appointment Change,Internal Staff,Normal,In Progress,4.21,0.0,8,72,1,1,0,161.54,82.21,79.33,4.28
REQ-10425,2026-02-09,2026-02-09,Email,Client Success,Service Follow-Up,Small Business,Low,In Progress,6.64,0.0,16,120,1,1,1,358.19,105.94,252.25,3.82
REQ-10461,2026-02-09,2026-02-09,Walk-In,Admin Operations,Vendor Record Update,Student,Urgent,Closed,0.9,2.32,2,24,1,1,0,250.05,87.52,162.53,4.46
REQ-10011,2026-02-10,2026-02-09,Unknown,Data & Reporting,Data Export,Student,Low,Closed,3.85,21.23,16,120,1,1,1,445.76,213.89,231.87,3.99
REQ-10020,2026-02-10,2026-02-09,Email,Systems Operations,Intake Form Issue,Vendor,Low,In Progress,9.44,0.0,16,120,1,1,0,493.93,114.87,379.06,3.87
REQ-10099,2026-02-10,2026-02-09,Web Form,Data & Reporting,Data Export,Parent,High,In Progress,1.48,0.0,4,36,1,1,0,678.69,228.0,450.69,4.12
REQ-10367,2026-02-10,2026-02-09,Email,Scheduling,Appointment Change,Parent,Normal,In Progress,4.62,0.0,8,72,1,1,0,122.25,42.79,79.46,3.99
REQ-10390,2026-02-10,2026-02-09,Walk-In,IT Support,Account Setup,Small Business,High,Closed,4.4,8.13,4,36,0,1,0,454.38,159.03,295.35,4.5
REQ-10004,2026-02-11,2026-02-09,Web Form,Systems Operations,Intake Form Issue,Small Business,High,Closed,1.44,25.4,4,36,1,1,0,314.48,110.26,204.22,4.52
REQ-10120,2026-02-11,2026-02-09,Phone,Client Success,Service Follow-Up,Parent,High,Closed,2.21,7.32,4,36,1,1,0,345.62,174.52,171.1,4.35
REQ-10196,2026-02-11,2026-02-09,Email,Admin Operations,Vendor Record Update,Internal Staff,Normal,Closed,3.05,26.82,8,72,1,1,0,228.44,58.04,170.4,4.14
REQ-10282,2026-02-11,2026-02-09,Email,Systems Operations,Intake Form Issue,Vendor,Normal,Closed,7.08,8.21,8,72,1,1,1,299.91,212.62,87.29,3.95
REQ-10380,2026-02-11,2026-02-09,Referral,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,5.04,12.0,8,72,1,1,0,189.63,82.04,107.59,4.54
REQ-10395,2026-02-11,2026-02-09,Web Form,Admin Operations,Vendor Record Update,Vendor,Normal,In Progress,2.03,0.0,8,72,1,1,0,251.03,130.24,120.79,3.8
REQ-10580,2026-02-11,2026-02-09,Email,Billing,Billing Question,Student,Low,Closed,8.79,17.61,16,120,1,1,1,234.98,175.5,59.48,3.8
REQ-10629,2026-02-11,2026-02-09,Email,Admin Operations,Vendor Record Update,Parent,Normal,Closed,4.17,10.89,8,72,1,1,0,132.04,31.46,100.58,4.45
REQ-10017,2026-02-12,2026-02-09,Referral,Billing,Billing Question,Internal Staff,Low,Closed,10.76,21.46,16,120,1,1,1,157.18,65.92,91.26,3.66
REQ-10174,2026-02-12,2026-02-09,Web Form,Admin Operations,Vendor Record Update,Parent,High,Closed,2.71,6.14,4,36,1,1,0,199.19,91.64,107.55,4.36
REQ-10177,2026-02-12,2026-02-09,Referral,Systems Operations,Automation Request,Internal Staff,Low,Open,4.8,0.0,16,120,1,1,0,1699.2,594.72,1104.48,4.08
REQ-10208,2026-02-12,2026-02-09,Phone,Billing,Invoice Correction,Parent,Normal,In Progress,1.37,0.0,8,72,1,1,0,332.7,90.11,242.59,4.1
REQ-10223,2026-02-12,2026-02-09,Email,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,5.14,11.89,8,72,1,1,0,135.49,61.84,73.65,4.26
REQ-10252,2026-02-12,2026-02-09,Phone,Admin Operations,Vendor Record Update,Unknown,Normal,Open,2.38,0.0,8,72,1,1,0,232.18,53.97,178.21,4.26
REQ-10285,2026-02-12,2026-02-09,Email,Client Success,Service Follow-Up,Vendor,Normal,Closed,5.47,6.66,8,72,1,1,0,343.64,169.79,173.85,4.47
REQ-10608,2026-02-12,2026-02-09,Web Form,Client Success,Service Follow-Up,Small Business,Normal,Closed,1.96,8.06,8,72,1,1,0,223.3,88.12,135.18,4.49
REQ-10631,2026-02-12,2026-02-09,Email,Admin Operations,Vendor Record Update,Internal Staff,Normal,In Progress,3.2,0.0,8,72,1,1,0,201.7,56.1,145.6,4.26
REQ-10064,2026-02-13,2026-02-09,Web Form,Data & Reporting,Dashboard Request,Parent,Normal,Closed,2.27,17.35,8,72,1,1,0,849.68,395.56,454.12,3.8
REQ-10071,2026-02-13,2026-02-09,Email,Billing,Invoice Correction,Vendor,Low,Closed,14.27,15.07,16,120,1,1,0,271.3,95.22,176.08,3.88
REQ-10240,2026-02-13,2026-02-09,Unknown,Admin Operations,Vendor Record Update,Parent,Low,Closed,7.57,12.37,16,120,1,1,1,145.78,85.35,60.43,3.88
REQ-10333,2026-02-13,2026-02-09,Email,Systems Operations,Intake Form Issue,Parent,Normal,Closed,3.05,7.46,8,72,1,1,1,390,278.3,111.7,3.88
REQ-10497,2026-02-13,2026-02-09,Phone,Admin Operations,Vendor Record Update,Parent,Normal,Closed,3.05,4.2,8,72,1,1,0,205.64,108.62,97.02,4.72
REQ-10559,2026-02-13,2026-02-09,Web Form,IT Support,Account Setup,Parent,Low,Closed,4.2,11.63,16,120,1,1,0,402.11,169.73,232.38,4.44
REQ-10080,2026-02-14,2026-02-09,Email,IT Support,Account Setup,Vendor,Low,Closed,4.85,14.01,16,120,1,1,0,298.27,114.49,183.78,4.37
REQ-10222,2026-02-14,2026-02-09,Email,Data & Reporting,Data Export,Parent,Low,Closed,4.2,10.38,16,120,1,1,1,480,388.98,91.02,4.09
REQ-10261,2026-02-14,2026-02-09,Referral,Billing,Billing Question,Student,High,Closed,1.9,13.8,4,36,1,1,0,266.03,142.13,123.9,4.3
REQ-10343,2026-02-14,2026-02-09,Referral,Client Success,Service Follow-Up,Student,High,Open,1.94,0.0,4,36,1,1,0,371.71,197.63,174.08,4.14
REQ-10349,2026-02-14,2026-02-09,Email,Data & Reporting,Dashboard Request,Parent,Urgent,Open,1.33,0.0,2,24,1,1,0,877.23,307.9,569.33,4.29
REQ-10405,2026-02-14,2026-02-09,Web Form,Data & Reporting,Data Export,Small Business,Low,Open,3.01,0.0,16,120,1,1,0,459.16,214.77,244.39,4.09
REQ-10512,2026-02-14,2026-02-09,Web Form,Billing,Invoice Correction,Vendor,Normal,Closed,2.27,7.66,8,72,1,1,0,303.41,130.4,173.01,4.51
REQ-10546,2026-02-14,2026-02-09,Email,IT Support,Account Setup,Parent,Normal,In Progress,6.26,0.0,8,72,1,1,0,451.91,202.5,249.41,4.21
REQ-10574,2026-02-14,2026-02-09,Unknown,Client Success,Service Follow-Up,Student,Normal,Closed,17.53,18.33,8,72,0,1,0,231.38,113.88,117.5,3.98
REQ-10128,2026-02-15,2026-02-09,Walk-In,Scheduling,Appointment Change,Vendor,Normal,In Progress,5.41,0.0,8,72,1,1,0,200.25,53.37,146.88,4.21
REQ-10274,2026-02-15,2026-02-09,Phone,Data & Reporting,Data Export,Student,Low,Closed,3.85,13.42,16,120,1,1,0,408.31,122.48,285.83,4.28
REQ-10280,2026-02-15,2026-02-09,Web Form,Client Success,Service Follow-Up,Student,High,Closed,3.89,28.28,4,36,1,1,1,264.61,97.15,167.46,3.8
REQ-10496,2026-02-15,2026-02-09,Referral,Billing,Billing Question,Student,Low,Closed,5.54,15.62,16,120,1,1,0,152.91,79.18,73.73,4.26
REQ-10585,2026-02-15,2026-02-09,Phone,Scheduling,Appointment Change,Internal Staff,Low,Closed,2.5,13.44,16,120,1,1,0,172.48,61.35,111.13,4.37
REQ-10589,2026-02-15,2026-02-09,Web Form,Billing,Billing Question,Student,Normal,In Progress,1.27,0.0,8,72,1,1,0,256.04,89.61,166.43,4.13
REQ-10148,2026-02-16,2026-02-16,Email,Systems Operations,Automation Request,Student,Normal,Closed,2.95,15.69,8,72,1,1,0,1032.76,315.31,717.45,4.29
REQ-10195,2026-02-16,2026-02-16,Email,Data & Reporting,Dashboard Request,Internal Staff,Normal,Closed,3.05,9.35,8,72,1,1,0,879.3,341.33,537.97,4.4
REQ-10247,2026-02-16,2026-02-16,Phone,Data & Reporting,Data Export,Unknown,Normal,Closed,2.25,21.09,8,72,1,1,1,620.11,217.04,403.07,4.05
REQ-10440,2026-02-16,2026-02-16,Web Form,Client Success,Service Follow-Up,Vendor,Low,Closed,7.68,18.7,16,120,1,1,0,363.4,126.0,237.4,4.3
REQ-10500,2026-02-16,2026-02-16,Email,Data & Reporting,Data Export,Small Business,Low,Open,9.25,0.0,16,120,1,1,1,624.11,218.44,405.67,3.59
REQ-10613,2026-02-16,2026-02-16,Web Form,IT Support,Account Setup,Student,Low,In Progress,4.57,0.0,16,120,1,1,0,320,153.86,166.14,4.19
REQ-10076,2026-02-17,2026-02-16,Walk-In,IT Support,Account Setup,Internal Staff,Normal,Closed,3.05,6.89,8,72,1,1,0,292.2,83.46,208.74,4.58
REQ-10150,2026-02-17,2026-02-16,Phone,Data & Reporting,Data Export,Small Business,Normal,Closed,3.99,13.57,8,72,1,1,0,618.36,295.92,322.44,4.56
REQ-10159,2026-02-17,2026-02-16,Referral,Billing,Billing Question,Student,Normal,Open,4.04,0.0,8,72,1,1,0,295.63,143.25,152.38,4.06
REQ-10411,2026-02-17,2026-02-16,Referral,Billing,Billing Question,Parent,High,Closed,3.39,11.23,4,36,1,1,0,174.32,83.77,90.55,4.35
REQ-10482,2026-02-17,2026-02-16,Phone,Billing,Billing Question,Internal Staff,Urgent,Closed,0.97,2.14,2,24,1,1,0,204.58,93.56,111.02,4.75
REQ-10548,2026-02-17,2026-02-16,Email,Billing,Invoice Correction,Student,Normal,Closed,1.76,8.75,8,72,1,1,0,390.58,190.07,200.51,4.56
REQ-10557,2026-02-17,2026-02-16,Web Form,Billing,Billing Question,Internal Staff,Normal,Open,4.1,0.0,8,72,1,1,0,151.67,53.08,98.59,4.26
REQ-10104,2026-02-18,2026-02-16,Email,Systems Operations,Intake Form Issue,Small Business,Normal,Closed,2.73,106.52,8,72,1,0,0,318.87,119.6,199.27,4.31
REQ-10155,2026-02-18,2026-02-16,Web Form,Data & Reporting,Dashboard Request,Small Business,Urgent,Closed,1.14,2.86,2,24,1,1,0,714.52,197.42,517.1,4.67
REQ-10230,2026-02-18,2026-02-16,Web Form,Billing,Billing Question,Vendor,Normal,In Progress,2.71,0.0,8,72,1,1,1,210,73.5,136.5,4.07
REQ-10312,2026-02-18,2026-02-16,Web Form,IT Support,General Request,Parent,Normal,Closed,2.38,7.7,8,72,1,1,0,421.16,147.41,273.75,4.57
REQ-10361,2026-02-18,2026-02-16,Walk-In,Systems Operations,Intake Form Issue,Internal Staff,Urgent,Open,1.05,0.0,2,24,1,1,0,421.77,111.85,309.92,4.09
REQ-10375,2026-02-18,2026-02-16,Email,Billing,Invoice Correction,Small Business,High,Closed,2.95,12.64,4,36,1,1,1,322.27,139.9,182.37,4.02
REQ-10436,2026-02-18,2026-02-16,Web Form,Data & Reporting,Dashboard Request,Small Business,Normal,Closed,3.94,23.78,8,72,1,1,0,788.1,341.34,446.76,3.8
REQ-10480,2026-02-18,2026-02-16,Email,Data & Reporting,Dashboard Request,Student,Low,Closed,3.94,24.26,16,120,1,1,0,741.34,205.41,535.93,4.24
REQ-10625,2026-02-18,2026-02-16,Web Form,Admin Operations,Vendor Record Update,Internal Staff,High,Closed,2.53,13.08,4,36,1,1,0,141.94,61.22,80.72,4.35
REQ-10023,2026-02-19,2026-02-16,Email,Scheduling,Appointment Change,Vendor,Normal,Closed,4.69,8.75,8,72,1,1,1,194.19,78.54,115.65,4.08
REQ-10059,2026-02-19,2026-02-16,Walk-In,Billing,Billing Question,Internal Staff,Normal,Closed,1.09,6.17,8,72,1,1,0,195.94,102.0,93.94,4.62
REQ-10234,2026-02-19,2026-02-16,Web Form,Data & Reporting,Data Export,Small Business,High,Closed,1.94,10.45,4,36,1,1,0,480.75,168.26,312.49,4.46
REQ-10275,2026-02-19,2026-02-16,Web Form,Billing,Invoice Correction,Vendor,Low,In Progress,2.53,0.0,16,120,1,1,1,377.6,130.9,246.7,3.97
REQ-10338,2026-02-19,2026-02-16,Web Form,Admin Operations,Vendor Record Update,Small Business,Normal,Open,4.38,0.0,8,72,1,1,0,257.78,85.35,172.43,4.09
REQ-10448,2026-02-19,2026-02-16,Phone,Billing,Invoice Correction,Vendor,Low,Closed,3.55,9.97,16,120,1,1,0,292.7,141.02,151.68,4.42
REQ-10487,2026-02-19,2026-02-16,Web Form,Data & Reporting,Dashboard Request,Internal Staff,Low,Open,2.58,0.0,16,120,1,1,0,899.35,461.4,437.95,4.3
REQ-10533,2026-02-19,2026-02-16,Email,Admin Operations,Vendor Record Update,Unknown,Urgent,In Progress,0.95,0.0,2,24,1,1,0,135.96,35.45,100.51,4.35
REQ-10609,2026-02-19,2026-02-16,Walk-In,Client Success,Service Follow-Up,Vendor,High,In Progress,1.27,0.0,4,36,1,1,0,268.95,80.14,188.81,4.32
REQ-10006,2026-02-20,2026-02-16,Referral,IT Support,Account Setup,Small Business,Low,Closed,4.2,13.18,16,120,1,1,1,263.83,180.39,83.44,4.15
REQ-10118,2026-02-20,2026-02-16,Referral,Client Success,Service Follow-Up,Internal Staff,Normal,Closed,1.5,25.4,8,72,1,1,0,246.06,109.2,136.86,4.34
REQ-10304,2026-02-20,2026-02-16,Walk-In,Billing,Invoice Correction,Internal Staff,Normal,Closed,3.06,15.8,8,72,1,1,1,307.25,152.32,154.93,4.13
REQ-10347,2026-02-20,2026-02-16,Email,IT Support,Account Setup,Internal Staff,High,Closed,2.84,6.14,4,36,1,1,0,303.61,89.91,213.7,4.63
REQ-10383,2026-02-20,2026-02-16,Web Form,Client Success,Service Follow-Up,Vendor,Normal,In Progress,1.52,0.0,8,72,1,1,0,370.72,111.09,259.63,4.29
REQ-10498,2026-02-20,2026-02-16,Email,Data & Reporting,Dashboard Request,Parent,Normal,Closed,2.32,6.68,8,72,1,1,1,779.07,408.53,370.54,3.99
REQ-10513,2026-02-21,2026-02-16,Referral,Billing,Billing Question,Vendor,High,Open,2.2,0.0,4,36,1,1,0,293.01,102.55,190.46,4.12
REQ-10568,2026-02-21,2026-02-16,Web Form,Billing,Invoice Correction,Parent,Normal,In Progress,2.54,0.0,8,72,1,1,0,231.29,101.76,129.53,3.8
REQ-10603,2026-02-21,2026-02-16,Web Form,Admin Operations,Vendor Record Update,Student,High,Closed,2.1,18.26,4,36,1,1,1,196.4,112.85,83.55,4.11
REQ-10636,2026-02-21,2026-02-16,Web Form,IT Support,Account Setup,Small Business,Normal,Open,3.05,0.0,8,72,1,1,0,363.08,103.85,259.23,4.03
REQ-10125,2026-02-22,2026-02-16,Referral,Systems Operations,Automation Request,Internal Staff,Normal,In Progress,1.58,0.0,8,72,1,1,0,1207.07,435.48,771.59,4.24
REQ-10160,2026-02-22,2026-02-16,Walk-In,Data & Reporting,Dashboard Request,Student,High,Open,1.91,0.0,4,36,1,1,0,811.68,372.0,439.68,4.4
REQ-10235,2026-02-22,2026-02-16,Email,Client Success,Service Follow-Up,Unknown,Low,Closed,6.87,16.2,16,120,1,1,0,373.7,111.2,262.5,4.17
REQ-10236,2026-02-22,2026-02-16,Email,Systems Operations,Intake Form Issue,Student,Normal,In Progress,7.73,0.0,8,72,1,1,1,301.93,170.24,131.69,3.72
REQ-10321,2026-02-22,2026-02-16,Walk-In,Data & Reporting,Data Export,Internal Staff,Low,Closed,3.07,22.5,16,120,1,1,0,410.9,196.54,214.36,4.17
REQ-10470,2026-02-22,2026-02-16,Referral,Systems Operations,Automation Request,Student,Normal,Closed,5.17,8.75,8,72,1,1,0,1635.13,789.03,846.1,4.3
REQ-10510,2026-02-22,2026-02-16,Email,Client Success,Service Follow-Up,Small Business,Normal,In Progress,12.7,0.0,8,72,0,1,0,312.56,90.54,222.02,4.04
REQ-10008,2026-02-23,2026-02-23,Web Form,IT Support,Account Setup,Small Business,Normal,Closed,2.6,7.58,8,72,1,1,0,338.95,118.63,220.32,4.32
REQ-10197,2026-02-23,2026-02-23,Web Form,Client Success,Service Follow-Up,Small Business,High,In Progress,1.13,0.0,4,36,1,1,0,264.9,125.8,139.1,4.33
REQ-10226,2026-02-23,2026-02-23,Email,Systems Operations,Automation Request,Vendor,Normal,Open,1.5,0.0,8,72,1,1,0,1171.8,424.91,746.89,3.8
REQ-10299,2026-02-23,2026-02-23,Web Form,Systems Operations,Intake Form Issue,Parent,Normal,Closed,3.05,24.11,8,72,1,1,0,310.65,108.87,201.78,4.33
REQ-10409,2026-02-23,2026-02-23,Referral,Scheduling,Appointment Change,Internal Staff,Normal,Closed,3.03,7.58,8,72,1,1,0,150.0,73.02,76.98,4.6
REQ-10463,2026-02-23,2026-02-23,Email,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,5.16,27.69,8,72,1,1,0,226.41,106.13,120.28,4.3
REQ-10582,2026-02-23,2026-02-23,Web Form,Data & Reporting,Data Export,Small Business,Normal,In Progress,3.05,0.0,8,72,1,1,0,583.92,161.11,422.81,4.13
REQ-10611,2026-02-23,2026-02-23,Walk-In,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,2.09,10.73,8,72,1,1,0,168.4,52.19,116.21,4.48
REQ-10057,2026-02-24,2026-02-23,Email,Systems Operations,Automation Request,Parent,Low,Open,3.7,0.0,16,120,1,1,0,1635.64,572.47,1063.17,4.17
REQ-10180,2026-02-24,2026-02-23,Web Form,Client Success,Service Follow-Up,Vendor,High,Closed,3.53,20.21,4,36,1,1,0,260,99.46,160.54,4.13
REQ-10255,2026-02-24,2026-02-23,Web Form,Scheduling,General Request,Small Business,Normal,Closed,3.49,8.75,8,72,1,1,0,250,80.8,169.2,4.53
REQ-10289,2026-02-24,2026-02-23,Walk-In,Client Success,Service Follow-Up,Student,Normal,In Progress,7.4,0.0,8,72,1,1,0,372.1,151.27,220.83,4.17
REQ-10313,2026-02-24,2026-02-23,Email,Data & Reporting,Dashboard Request,Vendor,Normal,Closed,6.8,27.42,8,72,1,1,0,850,282.4,567.6,4.07
REQ-10408,2026-02-24,2026-02-23,Email,Client Success,Service Follow-Up,Parent,Urgent,Closed,0.59,5.52,2,24,1,1,0,260,87.54,172.46,4.57
REQ-10431,2026-02-24,2026-02-23,Web Form,Admin Operations,Vendor Record Update,Student,Normal,Closed,2.0,4.79,8,72,1,1,0,252.75,61.8,190.95,4.48
REQ-10149,2026-02-25,2026-02-23,Unknown,Data & Reporting,Dashboard Request,Vendor,Normal,In Progress,2.42,0.0,8,72,1,1,0,1218.67,307.26,911.41,4.4
REQ-10151,2026-02-25,2026-02-23,Email,Data & Reporting,Data Export,Student,Normal,In Progress,11.47,0.0,8,72,0,1,0,358.92,178.49,180.43,3.74
REQ-10162,2026-02-25,2026-02-23,Phone,Scheduling,Appointment Change,Vendor,Normal,Closed,2.96,4.06,8,72,1,1,0,219.78,112.5,107.28,3.8
REQ-10194,2026-02-25,2026-02-23,Referral,Client Success,Service Follow-Up,Student,Low,Closed,2.85,9.13,16,120,1,1,1,306.74,138.33,168.41,4.21
REQ-10269,2026-02-25,2026-02-23,Unknown,Systems Operations,Automation Request,Parent,Low,Closed,3.45,15.23,16,120,1,1,0,1545.58,720.03,825.55,4.25
REQ-10393,2026-02-25,2026-02-23,Phone,Client Success,Service Follow-Up,Vendor,Normal,Closed,3.05,3.52,8,72,1,1,1,205.86,89.49,116.37,3.8
REQ-10518,2026-02-25,2026-02-23,Phone,Admin Operations,Vendor Record Update,Small Business,Low,Closed,5.14,12.74,16,120,1,1,0,134.66,30.63,104.03,4.45
REQ-10628,2026-02-25,2026-02-23,Phone,Client Success,Service Follow-Up,Parent,Urgent,Closed,1.14,5.75,2,24,1,1,1,334.64,241.5,93.14,4.36
REQ-10067,2026-02-26,2026-02-23,Walk-In,Billing,Billing Question,Parent,Normal,Closed,3.05,26.23,8,72,1,1,0,192.26,94.08,98.18,4.5
REQ-10385,2026-02-26,2026-02-23,Web Form,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,5.22,11.73,8,72,1,1,0,224.12,78.44,145.68,4.29
REQ-10412,2026-02-26,2026-02-23,Walk-In,Data & Reporting,Dashboard Request,Small Business,Urgent,In Progress,1.18,0.0,2,24,1,1,0,1110.51,603.6,506.91,3.8
REQ-10007,2026-02-27,2026-02-23,Web Form,Scheduling,Appointment Change,Small Business,High,Closed,1.14,11.68,4,36,1,1,0,147.94,55.57,92.37,4.45
REQ-10088,2026-02-27,2026-02-23,Email,Billing,Invoice Correction,Parent,Normal,Closed,4.01,15.46,8,72,1,1,0,280,114.39,165.61,4.23
REQ-10216,2026-02-27,2026-02-23,Email,Data & Reporting,Data Export,Parent,Low,Open,4.2,0.0,16,120,1,1,0,586.84,291.17,295.67,4.4
REQ-10232,2026-02-27,2026-02-23,Email,Data & Reporting,Data Export,Vendor,Low,In Progress,4.63,0.0,16,120,1,1,0,480,202.06,277.94,4.26
REQ-10281,2026-02-27,2026-02-23,Email,Systems Operations,Automation Request,Parent,Normal,Closed,2.7,20.58,8,72,1,1,0,1734.67,913.61,821.06,4.21
REQ-10350,2026-02-27,2026-02-23,Phone,Client Success,Service Follow-Up,Internal Staff,Normal,Closed,2.99,19.96,8,72,1,1,0,229.68,71.7,157.98,4.37
REQ-10382,2026-02-27,2026-02-23,Web Form,Billing,Invoice Correction,Small Business,Normal,Open,7.75,0.0,8,72,1,1,1,301.35,105.47,195.88,3.6
REQ-10402,2026-02-27,2026-02-23,Phone,Billing,Invoice Correction,Internal Staff,Normal,Open,3.2,0.0,8,72,1,1,0,286.1,134.04,152.06,3.8
REQ-10475,2026-02-27,2026-02-23,Email,Billing,Invoice Correction,Small Business,Normal,Closed,2.3,13.27,8,72,1,1,0,358.49,91.82,266.67,4.5
REQ-10511,2026-02-27,2026-02-23,Web Form,Systems Operations,Intake Form Issue,Student,Low,Closed,4.05,32.84,16,120,1,1,1,480.65,295.24,185.41,3.7
REQ-10522,2026-02-27,2026-02-23,Walk-In,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,2.49,10.7,8,72,1,1,0,162.21,43.7,118.51,4.52
REQ-10564,2026-02-27,2026-02-23,Phone,Data & Reporting,Data Export,Vendor,High,Closed,0.61,19.08,4,36,1,1,0,387.29,146.19,241.1,4.34
REQ-10109,2026-02-28,2026-02-23,Web Form,Data & Reporting,Data Export,Parent,High,Open,6.62,0.0,4,36,0,1,0,523.77,183.32,340.45,4.26
