ticket_id,request_date,channel,department,request_type,customer_type,priority,status,response_hours,resolution_hours,rework_required,revenue_value,cost_estimate,satisfaction_score
REQ-10469,01/21/2026,Walk-In,Billing,Invoice Correction,Student,High,Closed,1.56,,false,206.43,63.27,4.43
REQ-10175,01/21/2026,Phone,,Billing Question,Vendor,Normal,In Progress,1.31,0.00,0,151.34,45.18,4.19
REQ-10130,Mar 14 2026,Email,Systems Operations,Automation Request,Vendor,High,Open,2.10,0.00,false,1525.07,601.78,4.30
REQ-10064,02/13/2026,Web Form,Data & Reporting,Dashboard Request,Parent,Normal,Closed,2.27,17.35,false,849.68,395.56,
REQ-10236,Feb 22 2026,Email,Systems Operations,Intake Form Issue,Student,,In Progress,7.73,0.00,1,301.93,170.24,3.72
REQ-10537,2026-03-01,Phone,IT Support,Account Setup,Vendor,Normal,Open,1.59,,N,238.30,59.23,4.20
REQ-10552,2026-01-06,Phone,Data & Reporting,Data Export,Vendor,Low,Done, 2.7 ,57.87,0,380.30,172.84, 4.1 
REQ-10629,2026-02-11,Email,Admin Operations,Vendor Record Update,Parent,Normal,Closed,4.17,10.89,no,132.04,31.46,4.45
REQ-10443,Mar 17 2026,Email,Data & Reporting,Dashboard Request,Internal Staff,Low,Open, 12.3 ,0.00,N,942.03,414.01,4.04
REQ-10520,2026-04-02,Email,Systems Operations,Intake Form Issue,Parent,Normal,Closed,2.23,14.71,0, 517.4 ,,4.37
REQ-10032,2026-04-06,Email,Billing,Invoice Correction,Small Business,Low,Closed,8.30,,0,330.23,88.55,4.31
REQ-10276,Apr 11 2026,Walk-In,IT Support,Account Setup,Student,Normal,Closed,,15.84,false,273.05,78.24,4.48
REQ-10511,2026-02-27,Web Form,Systems Operations,Intake Form Issue,Student,Low,Closed,4.05,32.84,1,480.65,295.24,3.70
REQ-10610,2026-03-16,Phone,Billing,Billing Question,Student,Normal,Closed,1.84,37.90,no,174.57,,4.30
REQ-10093,04/07/2026,Email,Scheduling,Appointment Change,Student,Normal,Open,,0.00,0,165.47,84.12,4.43
REQ-10090,2026-01-19,Email,IT Support,Account Setup,Parent,Normal,Closed,4.10,14.60,false,362.20,161.55,4.51
REQ-10615,2026-01-23,Web Form,Systems Operations,Automation Request,Vendor,Normal,,1.67,0.00,N,1098.00, 361.5 ,-4.41
REQ-10354,2026-04-14,Walk-In,Scheduling,Appointment Change,Internal Staff,Low,Closed,,54.04,no, 219.2 ,113.78,4.01
REQ-10603,02/21/2026,Web Form,Admin Operations,Vendor Record Update,Student,High,Closed, 2.1 ,18.26,true, 196.4 ,112.85,4.11
REQ-10280,Feb 15 2026,Web Form,Client Success,Service Follow-Up,Student,High,Closed,3.89,28.28,Y,264.61,97.15,
REQ-10436,Feb 18 2026,Web Form,Data & Reporting,Dashboard Request,Small Business,Normal,Complete,3.94,23.78,N,788.10,341.34,
REQ-10087,Mar 20 2026,Referral,Client Success,Service Follow-Up,Parent,Normal,Closed, 2.0 ,16.68,false,243.63,125.42,4.27
REQ-10567,Jan 08 2026,Web Form,Systems Operations,Automation Request,Student,Normal,Closed,2.44, 18.0 ,0,1061.52, 557.1 ,4.22
REQ-10036,2026-04-10,Walk-In,Systems Operations,,Student,Normal,In Progress, 2.0 ,0.00,no,314.68,,4.18
REQ-10591,2026-01-18, EMAIL ,Data & Reporting,Dashboard Request,Parent,Normal,Open,3.29,,false,1138.42,496.11,
REQ-10108,03/20/2026,Web Form,Client Success,Service Follow-Up,Small Business,High,Closed,1.80,4.16,0,330.82,155.55,4.74
REQ-10100,02/02/2026,Walk-In,Client Success,Service Follow-Up,Vendor,Normal,Closed,4.21,5.01,0, 302.2 ,89.38,4.36
REQ-10612,Apr 13 2026,Phone,Billing,Billing Question,Student,Normal,Closed,2.62,92.74,Y,301.91, 191.2 ,3.95
REQ-10002,2026-01-07,Email,Billing,Billing Question,Student,Low,Closed,, 6.7 ,false,247.36,113.21,4.20
REQ-10016,Mar 19 2026,Phone,Client Success,Service Follow-Up,Vendor,High,Closed,,3.63,N,,71.78,4.64
REQ-10478,2026-04-11,Phone,,Service Follow-Up,Small Business,Normal,Closed,1.59,34.49,no,304.65,136.34,4.42
REQ-10550,Apr 18 2026,Walk-In,Data & Reporting,Dashboard Request,Student,Normal,Closed, 5.2 ,10.99,false, 797.0 , 223.8 ,4.18
REQ-10183,04/01/2026,Email,Admin Operations,Vendor Record Update,Parent,Normal,Closed,1.16,19.37,0,230.47,115.23,4.38
REQ-10229,Jan 20 2026,Web Form,Data & Reporting,Data Export,Vendor,High,Open,1.77,0.00,N,489.75,158.51,4.32
REQ-10053,2026-01-05,Web Form,IT Support,Account Setup,Internal Staff,Normal,Closed,1.07,6.41,false,386.82,,4.59
REQ-10413,Jan 22 2026,Web Form,IT Support,Account Setup,Small Business,Normal,New,2.65,0.00,1,240.35,174.96,3.84
REQ-10047,2026-03-25,Email,Admin Operations,Vendor Record Update,Parent,Normal,closed,,10.03,no,146.05,47.14, 4.3 
REQ-10012,03/03/2026,Email,Billing,Invoice Correction,Student,Normal,Closed,4.16,16.19,0,329.54, 130.2 ,4.45
REQ-10502,Apr 10 2026,Web Form,Systems Operations,Automation Request,Parent,Urgent,In Progress,1.20,0.00,no,1108.70,364.95,4.45
REQ-10528,03/27/2026,Email,Scheduling,Appointment Change,Parent,Normal,Closed,1.48,22.30,no,213.32,78.14,4.25
REQ-10369,2026-03-02,Email,Billing,Billing Question,Internal Staff,Normal,Pending,2.78,,false,208.76,87.99, 4.3 
REQ-10344,03/09/2026,Phone,Data & Reporting,Data Export,Vendor,Normal,Open, 3.6 ,0.00,0,650.20,292.78,4.16
REQ-10427,01/25/2026,Web Form,Data & Reporting,Data Export,Small Business,High,Closed,1.55,5.77,0,-627.18,246.64,4.57
REQ-10473,Jan 20 2026,Phone,,Service Follow-Up,Student,Normal,Closed,4.28,7.08,0,351.40,160.82,4.50
REQ-10592,Jan 13 2026,Email,Data & Reporting,Data Export,Internal Staff,Normal,Closed,5.68,13.35,0,,180.34,4.50
REQ-10378,Apr 05 2026,Web Form,Data & Reporting,Data Export,Vendor,Normal,Closed,3.40,10.45,yes,497.87,361.44,4.11
REQ-10286,2026-02-06,Email,Systems Operations,Automation Request,Vendor,High,Open,3.10,0.00,0,,505.90,4.37
REQ-10187,03/25/2026,phone,Data & Reporting,Data Export,Vendor,,Closed,1.28,,true,375.97,206.46,4.01
REQ-10133,2026-01-22,web form,Data & Reporting,Data Export,Student,Normal,Closed,3.90,10.13,true,551.75,436.35,4.13
REQ-10420,Jan 22 2026,,Admin Operations,Vendor Record Update,Parent,Normal,Closed,7.37,8.80,N,204.66,50.27,4.14
REQ-10358,Jan 16 2026,Email,Billing,,Parent,Normal,,4.47,25.30,false,210.81,65.03, 4.3 
REQ-10527,2026-01-26,Email,IT Support,Account Setup,Small Business,High,In Progress,0.64,0.00,false,387.58,,4.25
REQ-10471,Apr 08 2026,Web Form,Admin Operations,Vendor Record Update,Vendor,Normal,In Progress,3.08,,N,155.59,52.83,4.23
REQ-10560,04/19/2026,Email,Billing,Invoice Correction,Small Business,High,Closed,7.22,,false,295.49,90.23, 4.4 
REQ-10162,Feb 25 2026,Phone,Scheduling,Appointment Change,Vendor,Normal,Closed,2.96,4.06,false,219.78,112.50,
REQ-10272,2026-01-08,Web Form,Client Success,Service Follow-Up,Vendor,Normal,Closed,3.30,8.15,N,370.06,,4.66
REQ-10083,2026-03-25,Phone,Billing,Billing Question,Vendor,Low,Closed,5.17,15.09,Y,302.78,215.31,4.04
REQ-10321,02/22/2026,In Person,Data & Reporting,Data Export,Internal Staff,Low,Done,3.07,22.50,N,410.90,196.54,4.17
REQ-10639,Feb 28 2026,Walk-In,Scheduling,Appointment Change,Vendor,Low,Open,3.65, 0.0 ,no,202.31,110.59,4.15
REQ-10192,2026-04-01,Web Form,Data & Reporting,Data Export,Small Business,High,In Progress,3.55,0.00,yes,, 245.8 ,3.66
REQ-10373,2026-03-19,Referral,Client Success,Service Follow-Up,Parent,Normal,In Progress,5.08,,0,,131.54,4.14
REQ-10265,Feb 04 2026,Email,Client Success,,Vendor,Normal,Closed,2.48,7.60,false,364.13,90.34,4.65
REQ-10131,Jan 10 2026,Email,Billing,Invoice Correction,Internal Staff,Normal,Closed,3.76,73.13,N, 342.7 ,168.80,3.55
REQ-10196,2026-02-11, EMAIL ,Admin Operations,Vendor Record Update,Internal Staff,Normal,Closed,-7.08,26.82,0,228.44,58.04,4.14
REQ-10490,2026-03-27,Referral,Admin Operations,Vendor Record Update,Parent,Normal,In Progress,2.68,0.00,no,251.99,86.87,4.16
REQ-10005,2026-02-08,Referral,Systems Operations,Intake Form Issue,Parent,High,Closed,4.72,19.59,false,381.16,-135.75,4.45
REQ-10065,02/08/2026,Phone,Systems Operations,Intake Form Issue,Vendor,High,Closed,0.45,11.69,no,503.13,250.74,4.49
REQ-10217,2026-01-27,web form,Client Success,Service Follow-Up,,High,In Progress,2.52,0.00,N,327.87,131.93,4.29
REQ-10306,Jan 16 2026,Walk-In,Client Success,Service Follow-Up,Parent,,In Progress,1.56,0.00,no,297.21,116.05,
REQ-10289,02/24/2026,Walk-In,Client Success,Service Follow-Up,Student,Normal,In Progress,7.40,0.00,N,372.10,151.27,4.17
REQ-10137,03/31/2026,Referral,Billing,Invoice Correction,Student,Normal,Closed,1.84, 9.4 ,false,311.78, 108.4 ,4.59
REQ-10594,2026-02-05,Web Form,Systems Operations,Automation Request,Parent,,Closed,1.14,5.20,false,1642.19,405.08,4.48
REQ-10283,2026-03-03,Referral,Client Success,Service Follow-Up,Internal Staff,High,Closed,3.55,4.72,no,319.92,121.21,4.68
REQ-10011,02/10/2026,,Data & Reporting,Data Export,Student,Low,Closed,3.85,21.23,Y,445.76,213.89,3.99
REQ-10116,Jan 11 2026,Email,Client Success,Service Follow-Up,Internal Staff,Low,Closed,5.97,17.00,false,276.12,72.82,4.48
REQ-10267,01/23/2026,Email,Data & Reporting,Data Export,Internal Staff,High,Closed,2.82,9.32,false,395.28,147.67,4.34
REQ-10041,01/16/2026,Email,Systems Operations,Intake Form Issue,Vendor,Low,closed,3.01,34.01,0,314.69,108.88,4.30
REQ-10324,Mar 08 2026,Web Form,Admin Operations,Vendor Record Update,Student,Normal,Done,2.57,25.69,0,171.65,62.05,4.47
REQ-10330,Mar 06 2026,Email,Billing,Invoice Correction,Internal Staff,Normal,Closed,7.47,13.05,false,359.59,174.54,4.13
REQ-10523,03/04/2026,Web Form,Systems Operations,Intake Form Issue,Parent,Urgent,Closed,0.40,11.69,no,426.87,195.17,4.63
REQ-10084,Mar 05 2026,Phone,Data & Reporting,Dashboard Request,Parent,Normal,Open,2.17,0.00,false, 1009.9 ,405.27,4.16
REQ-10042,01/28/2026,Phone,Admin Operations,Vendor Record Update,Internal Staff,Normal,Working,2.37,0.00,no,,72.60, 4.1 
REQ-10109,2026-02-28,Web Form,Data & Reporting,Data Export,Parent,High,Open,6.62,0.00,false,523.77,,4.26
REQ-10506,02/03/2026,Online Form,Scheduling,Appointment Change,Internal Staff,Low,Closed,1.75,9.62,0,172.57,87.26,
REQ-10043,01/05/2026,Email,Billing,Invoice Correction,Student,Low,Closed,3.84,11.96,false,383.17,104.02,4.56
REQ-10607,03/24/2026,Email,Billing,Invoice Correction,Vendor,Normal,Closed,7.98,8.78,N, 230.0 ,56.20,4.35
REQ-10107,Apr 01 2026,Email,Systems Operations,Intake Form Issue,Internal Staff,Low,In Progress,5.80,0.00,true,555.80,361.91,3.78
REQ-10313,Feb 24 2026,Email,Data & Reporting,Dashboard Request,Vendor,Normal,Done,6.80,27.42,false,,282.40,4.07
REQ-10612,Apr 13 2026,Phone,Billing,Billing Question,Student,Normal,Closed,2.62,14.87,Y,301.91, 191.2 ,3.95
REQ-10429,Apr 10 2026,Walk-In,Systems Operations,Automation Request,Parent,Normal,Closed,3.82,-33.62,no,886.23, 281.9 , 4.1 
REQ-10308,Jan 27 2026,Web Form,Billing,Billing Question,,Normal,Closed,3.55,16.44,false,295.36,140.60,4.22
REQ-10454,Jan 31 2026,Web Form,Scheduling,Appointment Change,Student,Low,Closed,2.42, 8.9 ,N,122.98,30.06,4.68
REQ-10456,Apr 20 2026,Email,Client Success,Service Follow-Up,Internal Staff,Normal,Working,,0.00,no,308.74,126.44,4.04
REQ-10322,Mar 24 2026,Phone,Admin Operations,Vendor Record Update,Small Business,High,, 0.5 ,7.18,N,223.30, 121.0 ,4.66
REQ-10039,04/17/2026,referral,Admin Operations,Vendor Record Update,Student,Normal,In Progress,4.10,0.00,0,165.25,78.62,4.26
REQ-10442,2026-01-18,Online Form,Admin Operations,Vendor Record Update,Student,Normal,Closed,2.16, 11.2 ,false,237.74,91.45,4.66
REQ-10393,Feb 25 2026,Phone,Client Success,Service Follow-Up,Vendor,Normal,Closed,,3.52,Y,205.86,89.49,
REQ-10482,Feb 17 2026, PHONE ,Billing,Billing Question,Internal Staff,Urgent,Closed,0.97,2.14,false,204.58,93.56,4.75
REQ-10057,Feb 24 2026,Email,Systems Operations,Automation Request,Parent,Low,Open,3.70, 0.0 ,0,1635.64,,4.17
REQ-10628,2026-02-25,Phone,Client Success,Service Follow-Up,Parent,Urgent,closed,-0.79,5.75,true,334.64,241.50,4.36
REQ-10404,01/21/2026,Web Form,Billing,Invoice Correction,Small Business,High,In Progress,1.20,0.00,0,257.72,102.26,4.18
REQ-10437,Apr 14 2026,Referral,Data & Reporting,Dashboard Request,,Low,In Progress,3.46,0.00,N,,322.34,4.11
REQ-10497,Feb 13 2026,Phone,Admin Operations,Vendor Record Update,Parent,Normal,Closed,,4.20,false,205.64,108.62,4.72
REQ-10410,Apr 15 2026,Web Form,Systems Operations,Automation Request,Vendor,Low,Closed,, 27.7 ,false,,438.23, 4.1 
REQ-10495,2026-01-25,Email,Systems Operations,Intake Form Issue,Parent,Low,Done,4.10,38.47,N,533.53,272.77,4.00
REQ-10290,2026-01-24,Web Form,Billing,Billing Question,Parent,Normal,In Progress,2.22,0.00,0,166.31,90.38,4.26
REQ-10512,2026-02-14,Web Form,Billing,Invoice Correction,Vendor,Normal,Closed,2.27,7.66,no,303.41,130.40,4.51
REQ-10050,03/23/2026,referral,Client Success,Service Follow-Up,Small Business,Normal,Closed,,,false,243.09,83.42,4.54
REQ-10587,2026-04-05,Web Form,Data & Reporting,Dashboard Request,Student,Normal,Open,-3.64,0.00,no,777.02,340.22,4.15
REQ-10577,2026-01-15,Email,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,3.56,9.04,N,257.44,109.29,4.46
REQ-10508,Jan 20 2026,Phone,Scheduling,Appointment Change,Student,High,Open,1.28,,0,199.67,72.68,4.15
REQ-10077,Apr 14 2026,Online Form,Admin Operations,Vendor Record Update,Student,Urgent,Closed,1.40,3.03,no,192.56,105.27,
REQ-10327,Mar 16 2026,Web Form,Billing,Invoice Correction,Small Business,Normal,Closed,2.64,,no,205.80,88.21,4.55
REQ-10525,Jan 30 2026,Referral,Data & Reporting,Dashboard Request,Internal Staff,Normal,Closed,4.68,5.48,no,1231.95,414.80,4.45
REQ-10318,02/09/2026,,Scheduling,Appointment Change,Internal Staff,Normal,In Progress,4.21,0.00,no,161.54,82.21,4.28
REQ-10635,04/14/2026,Referral,Scheduling,Appointment Change,Internal Staff,Normal,Closed,4.17, 11.3 ,true,187.05,85.48,4.11
REQ-10237,Jan 17 2026,Web Form,Client Success,Service Follow-Up,Vendor,High,Open,1.13,0.00,N,210.00,78.27,4.45
REQ-10483,Mar 14 2026,Email,Client Success,Service Follow-Up,Small Business,High,Closed,5.84,6.64,N,273.09,,4.28
REQ-10200,01/18/2026,Email,Systems Operations,Intake Form Issue,Student,Normal,Closed,2.87,,no,,84.87,4.36
REQ-10453,03/28/2026,Phone,Data & Reporting,Dashboard Request,Vendor,Low,Closed,2.63,13.94,no,811.02,280.86,4.51
REQ-10079,04/15/2026,Email,Billing,Invoice Correction,Internal Staff,High,Closed,2.14,25.34,false,339.04,110.04,4.42
REQ-10377,Jan 21 2026,Walk-In,Billing,Billing Question,Internal Staff,High,In Progress,2.17,0.00,0,285.76,140.50,4.29
REQ-10394,01/15/2026,Phone,Billing,Billing Question,Parent,High,Working, 1.8 ,0.00,false,164.96,88.05,4.17
REQ-10068,Mar 06 2026,Phone,Systems Operations,Intake Form Issue,Parent,Low,Closed,2.50,6.40,no,509.76,200.13,4.50
REQ-10238,Mar 28 2026,Web Form,Billing,Billing Question,Small Business,High,Closed,2.24,14.93,false,300.03,91.28, 4.5 
REQ-10282,2026-02-11,Email,Systems Operations,Intake Form Issue,Vendor,Normal,Closed,7.08,8.21,Y,299.91,212.62,3.95
REQ-10458,Mar 03 2026,Web Form,Data & Reporting,Data Export,Small Business,Urgent,In Progress,2.10,0.00,0,360.43,106.92,4.42
REQ-10465,Mar 23 2026,Email,Client Success,Service Follow-Up,Vendor,Normal,Closed, 2.8 , 6.8 ,false,268.01,,4.53
REQ-10070,2026-03-09,Web Form,,Appointment Change,Internal Staff,High,In Progress,1.54,0.00,0,154.24,73.00,4.11
REQ-10407,2026-01-19,Phone,Data & Reporting,Data Export,Parent,Normal,Closed,3.88, 13.1 ,yes,560.88,287.90,4.12
REQ-10022,Jan 24 2026,Phone,Scheduling,Appointment Change,Internal Staff,Normal,Working,3.84,0.00,N,180.45,,4.10
REQ-10007,Feb 27 2026,WEB,Scheduling,Appointment Change,Small Business,High,Complete,1.14,11.68,0,147.94,55.57,4.45
REQ-10475,02/27/2026,Email,Billing,Invoice Correction,Small Business,Normal,Closed, 2.3 ,13.27,no,358.49,91.82, 4.5 
REQ-10392,01/10/2026,Phone,Client Success,Service Follow-Up,Vendor,High,Complete,4.05,,no,368.39,-150.08,4.31
REQ-10333,Feb 13 2026,Email,Systems Operations,Intake Form Issue,Parent,,Closed,,7.46,yes,-521.16,278.30,3.88
REQ-10243,Jan 21 2026,In Person,Systems Operations,Intake Form Issue,Internal Staff,Normal,Closed,3.68,6.85,true,446.02,,4.10
REQ-10191,2026-04-21,Web Form,Systems Operations,Intake Form Issue,Vendor,,In Progress, 2.8 ,0.00,no,411.09,198.91,4.09
REQ-10389,2026-01-06,Phone,Scheduling,Appointment Change,Student,High,Closed,1.81,11.73,N,143.16,, 4.3 
REQ-10045,Mar 30 2026, EMAIL ,Data & Reporting,,Internal Staff,Normal,Closed,3.60,-39.87,Y,1063.72,628.62, 3.9 
REQ-10307,2026-03-22,Walk-In,Admin Operations,,Vendor,Normal,Closed,2.22, 136.1 ,no,170.45,59.15,4.34
REQ-10498,2026-02-20,Email,Data & Reporting,Dashboard Request,Parent,Normal,Closed,2.32,6.68,yes,779.07,408.53,3.99
REQ-10088,2026-02-27, EMAIL ,Billing,Invoice Correction,Parent,Normal,Complete,4.01,15.46,false,,114.39,4.23
REQ-10544,02/28/2026,Email,Scheduling,Appointment Change,Small Business,Normal,Closed,3.51,16.47,false,183.74,46.24,4.18
REQ-10551,2026-04-05,Web Form,Client Success,Service Follow-Up,Vendor,High,Closed,1.12,,N,,77.54,4.39
REQ-10341,2026-02-02,Web Form,Systems Operations,Automation Request,Vendor,Low,Closed,7.06,91.24,N,,548.42,3.26
REQ-10203,,Web Form,Billing,Invoice Correction,Small Business,High,in progress,1.73,0.00,false,,88.94,4.17
REQ-10593,03/15/2026,Email,Admin Operations,Vendor Record Update,Internal Staff,Normal,Closed, 7.8 ,52.72,no,192.65,,3.87
REQ-10352,2026-04-07,Walk-In,Scheduling,Appointment Change,Internal Staff,Low,Open,4.11,0.00,N,129.54,51.37,4.03
REQ-10412,Feb 26 2026,Walk-In,Data & Reporting,Dashboard Request,Small Business,Urgent,In Progress,1.18,0.00,0,1110.51,603.60,
REQ-10524,Mar 26 2026,Email,IT Support,Account Setup,Vendor,Low,Closed,5.39,12.46,N,363.95, 194.5 ,4.54
REQ-10579,02/01/2026,Email,Client Success,Service Follow-Up,Vendor,High,Open,3.40,0.00,N,254.91,79.25,4.16
REQ-10269,2026-02-25,,Systems Operations,Automation Request,Parent,Low,Closed,3.45,15.23,N,1545.58,720.03,4.25
REQ-10245,02/01/2026,E-mail,IT Support,Account Setup,Internal Staff,Normal,Closed,3.71,,no,367.68,201.51,4.40
REQ-10309,03/22/2026,Walk-In,Client Success,Service Follow-Up,Parent,Normal,New,3.09,0.00,N,219.52,105.59,4.05
REQ-10434,Jan 08 2026,Web Form,Scheduling,Appointment Change,Small Business,Normal,open,2.32,0.00,no,137.75, 59.5 ,4.10
REQ-10472,Mar 06 2026,Phone,Data & Reporting,Dashboard Request,Parent,Normal,Closed,1.38,7.35,no,743.75,,4.47
REQ-10426,2026-04-18,Walk-In,Data & Reporting,Data Export,Parent,Normal,Closed,1.30,13.23,N,520.69,248.52, 4.6 
REQ-10383,Feb 20 2026,web form,Client Success,Service Follow-Up,Vendor,Normal,In Progress,1.52,,0,370.72,111.09,4.29
REQ-10240,2026-02-13,,Admin Operations,Vendor Record Update,Parent,Low,Closed,7.57,12.37,yes,145.78,85.35,3.88
REQ-10156,2026-03-14,Referral,Data & Reporting,Dashboard Request,Parent,Normal,Open, 10.6 ,0.00,N,1009.08,537.61,4.07
REQ-10298,Apr 11 2026,Phone,Client Success,Service Follow-Up,Vendor,Normal,Closed,2.31,9.67,N,331.12,100.84,4.50
REQ-10212,Apr 07 2026,Email,IT Support,Account Setup,Internal Staff,Normal,Closed, 3.2 ,,false,332.20,156.88, 4.4 
REQ-10600,01/20/2026,Email,Data & Reporting,Dashboard Request,Internal Staff,High,Closed,1.46,19.16,true, 832.0 ,524.48,3.94
REQ-10292,01/13/2026,Walk-In,Data & Reporting,,Vendor,High,in progress,2.19,,0,,380.88,4.12
REQ-10616,Apr 23 2026,Web Form,Billing,Invoice Correction,Parent,Low,Closed,8.03,10.41,false,232.72,59.42,4.38
REQ-10349,2026-02-14,Email,Data & Reporting,Dashboard Request,Parent,Urgent,Open,1.33,,0,877.23,307.90,4.29
REQ-10103,02/01/2026,Email,Billing,Invoice Correction,Parent,Normal,In Progress,3.45, 0.0 ,N,301.52,88.19,4.17
REQ-10104,Feb 18 2026,email,Systems Operations,Intake Form Issue,Small Business,Normal,In Progress,2.73,0.00,no,318.87,119.60,4.31
REQ-10180,Feb 24 2026,Web Form,Client Success,Service Follow-Up,Vendor,High,closed,3.53,20.21,false,,99.46,4.13
REQ-10517,Jan 10 2026,E-mail,Billing,,Student,Normal,Closed,1.76,6.69,0,210.15,85.71,4.63
REQ-10541,01/17/2026,Referral,Systems Operations,Intake Form Issue,Internal Staff,Normal,Closed,4.30,9.78,no,527.78,117.48,4.25
REQ-10370,03/01/2026,Web Form,Billing,Billing Question,Small Business,Normal,Closed,1.60,17.68,N,187.53,45.70,4.59
REQ-10532,Feb 01 2026,,Scheduling,Appointment Change,,Normal,Closed,2.06,,N,175.79,95.43,4.70
REQ-10430,03/17/2026,Walk-In,Data & Reporting,Dashboard Request,Parent,Normal,In Progress,,0.00,false,1221.50,629.65,4.27
REQ-10167,Jan 21 2026,Phone,Client Success,Service Follow-Up,Internal Staff,Normal,Done,2.43,23.30,N,198.97,,4.21
REQ-10305,04/21/2026,Email,Data & Reporting,Data Export,Student,Normal,Closed,4.02,9.53,N,414.11,131.02,4.44
REQ-10559,2026-02-13,Web Form,IT Support,Account Setup,Parent,Low,Done,,11.63,N,402.11,169.73,4.44
REQ-10025,01/08/2026,Email,Systems Operations,Intake Form Issue,Internal Staff,Low,In Progress,2.63,0.00,N,375.83, 126.5 ,4.16
REQ-10216,02/27/2026,Email,Data & Reporting,Data Export,Parent,Low,open,,0.00,N,586.84,291.17,4.40
REQ-10406,2026-04-18,Email,Systems Operations,Automation Request,Small Business,High,Closed,2.91,27.86,no,1022.09,441.86,4.13
REQ-10208,Feb 12 2026,Phone,Billing,Invoice Correction,Parent,Normal,In Progress,1.37,0.00,no, 332.7 ,90.11,4.10
REQ-10259,2026-04-01,Web Form,Data & Reporting,Dashboard Request,Parent,High,Closed,0.91, 12.0 ,N,898.28,223.30,4.48
REQ-10382,2026-02-27,Web Form,Billing,Invoice Correction,Small Business,Normal,Open,7.75, 0.0 ,yes,301.35,, 3.6 
REQ-10114,2026-02-07,Walk-In,Billing,Invoice Correction,Student,High,Closed,1.68,5.03,1, 305.3 ,124.15,4.37
REQ-10477,Feb 28 2026,email,Data & Reporting,Data Export,Small Business,Low,Closed,3.39,17.01,false,472.30,202.26,4.40
REQ-10127,Mar 23 2026,Referred,Systems Operations,Automation Request,Student,Normal,Closed,2.95,11.21,false,1411.73,496.72,4.42
REQ-10235,02/22/2026,E-mail,Client Success,Service Follow-Up,,Low,Closed,6.87,16.20,N,373.70,111.20,4.17
REQ-10529,2026-02-06,Referral,Billing,Billing Question,Internal Staff,Low,Closed,9.76, 30.5 ,false,190.79,67.22,3.84
REQ-10543,01/15/2026,Referral,Billing,Billing Question,,Normal,Closed,1.45,15.12,no, 289.2 , 129.7 ,-4.27
REQ-10250,2026-01-14,Web Form,Admin Operations,Vendor Record Update,Vendor,Normal,open,5.05,0.00,no,194.49,60.44,4.29
REQ-10224,Apr 17 2026,Phone,,Dashboard Request,Parent,Low,Open,1.87, 0.0 ,0,646.69,208.62,4.35
REQ-10126,Apr 03 2026,Email,Data & Reporting,Data Export,Internal Staff,High,Closed,1.64,7.85,1,650.78,281.78,4.20
REQ-10604,Mar 13 2026,Email,Admin Operations,Vendor Record Update,Parent,Normal,Closed,,42.62,N,,47.63,4.05
REQ-10253,04/23/2026,Walk-In,,Data Export,Parent,Urgent,closed, 0.5 ,5.03,false,554.23,233.55,4.73
REQ-10006,02/20/2026,Referral,IT Support,Account Setup,Small Business,Low,Closed,,13.18,Y,263.83,180.39,4.15
REQ-10533,Feb 19 2026,Email,Admin Operations,Vendor Record Update,,Urgent,In Progress,0.95,0.00,0,135.96,35.45,4.35
REQ-10190,2026-03-27,Web Form,Billing,Invoice Correction,Parent,Normal,In Progress,2.40,0.00,0,340.84,118.85,4.08
REQ-10540,2026-03-26,email,IT Support,Account Setup,Internal Staff,Normal,,11.05,11.85,no,331.31,161.35,4.29
REQ-10522,02/27/2026,Walk-In,Admin Operations,Vendor Record Update,Small Business,Normal,Closed,2.49, 10.7 ,N,162.21,43.70,4.52
REQ-10125,2026-02-22,Referral,Systems Operations,Automation Request,Internal Staff,Normal,In Progress,1.58,0.00,false,1207.07,435.48,4.24
REQ-10491,03/09/2026,Email,Systems Operations,Intake Form Issue,Vendor,Normal,Open,2.24,,N,290.26,82.95, 4.3 
REQ-10563,2026-03-31,Walk-In,Admin Operations,Vendor Record Update,Small Business,Normal,Done,2.84,7.43,no,232.80,-70.08,4.44
REQ-10223,02/12/2026,Email,Admin Operations,Vendor Record Update,Vendor,Normal,Closed,5.14,11.89,N,135.49,61.84,4.26
REQ-10128,2026-02-15,Walk-In,Scheduling,Appointment Change,Vendor,Normal,In Progress,5.41,0.00,N,200.25,53.37,4.21
REQ-10343,2026-02-14,Referral,Client Success,Service Follow-Up,Student,High,Open,,0.00,no,371.71,197.63,4.14
REQ-10034,03/10/2026,WEB,Billing,Billing Question,Student,Urgent,Closed,0.95,6.47,no,247.21,101.07,4.72
REQ-10582,02/23/2026,Web Form,Data & Reporting,Data Export,Small Business,Normal,In Progress,,0.00,no,583.92,161.11,4.13
REQ-10509,04/18/2026,Email,Admin Operations,Vendor Record Update,Small Business,Normal,in progress,6.11,0.00,no,223.04,94.17,4.13
REQ-10332,2026-03-28,Web Form,Data & Reporting,Data Export,Small Business,Normal,Closed,6.30,18.60,0,443.32,97.68,4.15
REQ-10534,01/31/2026,Phone,Client Success,Service Follow-Up,Internal Staff,High,Closed,,8.95,no,261.39,133.97,4.43
REQ-10538,Jan 25 2026,Email,Admin Operations,Vendor Record Update,Vendor,Normal,Working,-4.62,0.00,0,212.33,106.43, 4.3 
